Model,Layers,CNT,TI,MAED,U_abs,HR@10,NDCG@10,MAE,Macro_F1,Precision
large,"[32, 16, 8, 4]",0.6408253205128368,0.120903574,0.004897833,0.009836912,0.9776357827476039,0.8113693264995381,0.37049463391304016,0.7000492438683441,0.7096118921031428
medium,"[16, 8, 4]",0.6418569711538626,0.114944726,0.0040379167,0.008976996,0.9776357827476039,0.8089668908329681,0.3741426169872284,0.6975831473101537,0.7093674862783842
small,"[8, 4]",0.630899439102582,0.122811265,0.002400577,0.0073396564,0.9765708200212992,0.8047784537309723,0.3735169470310211,0.699757584360305,0.7076854100294823
tiny,"[4, 2]",0.628465544871815,0.10567539,0.002922833,0.0020162463,0.9776357827476039,0.8046258108474339,0.37985068559646606,0.6988046609809921,0.7048838812959763
xlarge,"[64, 32, 16, 8]",0.6415865384615554,0.119930364,0.004185319,0.009124398,0.9765708200212992,0.8107455384036945,0.37218305468559265,0.6984663477226183,0.7089241556750948
