Model,Layers,CNT,TI,MAED,U_abs,HR@10,NDCG@10,MAE,Macro_F1,Precision
large,"[32, 16, 8, 4]",0.6275240384615569,0.082612686,0.0017584562,0.003180623,0.9776357827476039,0.812919741866655,0.4028981626033783,0.7000462998732145,0.7000403180908736
medium,"[16, 8, 4]",0.6336738782051454,0.08612818,9.298325e-06,0.004929781,0.9776357827476039,0.8093996461694919,0.3989693820476532,0.699939668181514,0.7029895135011683
small,"[8, 4]",0.6331730769230941,0.09375008,0.0030381083,0.0019009709,0.9765708200212992,0.8093735313966283,0.3967297673225403,0.7021637017042199,0.7059242559088281
tiny,"[4, 2]",0.6218048878205329,0.09392818,0.004933536,5.543232e-06,0.9776357827476039,0.8110262151393897,0.3964787423610687,0.7032340442309313,0.7046935618394907
xlarge,"[64, 32, 16, 8]",0.6265424679487386,0.084458105,0.00032019615,0.0052592754,0.9776357827476039,0.8108350698506764,0.40144750475883484,0.7003628339575345,0.7010320795477106
