Model,Layers,CNT,TI,MAED,U_abs,HR@10,NDCG@10,MAE,Macro_F1,Precision
large,"[32, 16, 8, 4]",0.6397936698718159,0.077673376,0.0009293556,0.005868435,0.9776357827476039,0.8090146269355338,0.3962339460849762,0.6967576981588319,0.7073790647546514
medium,"[16, 8, 4]",0.6425480769230955,0.07863451,0.0022500157,0.007189095,0.9776357827476039,0.8087727276096667,0.3959066569805145,0.6981359056184804,0.7099807135969143
small,"[8, 4]",0.6382712339743775,0.085714355,0.0010301471,0.0059692264,0.9765708200212992,0.8063303816376097,0.39448675513267517,0.6975707612815432,0.7080316546429914
tiny,"[4, 2]",0.6278345352564318,0.08903863,0.0024410486,0.0024980307,0.9765708200212992,0.8050736227716533,0.39204323291778564,0.6992742825406333,0.7051607888235996
xlarge,"[64, 32, 16, 8]",0.6417968750000184,0.07653302,0.0020487905,0.0069878697,0.9776357827476039,0.8087251835879955,0.3987847864627838,0.6962486703014448,0.7066144249390084
