ItinID;MktID;MktCoupons;Year;Quarter;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;Origin;OriginCountry;OriginStateFips;OriginState;OriginStateName;OriginWac;DestAirportID;DestAirportSeqID;DestCityMarketID;Dest;DestCountry;DestStateFips;DestState;DestStateName;DestWac;AirportGroup;WacGroup;TkCarrierChange;TkCarrierGroup;OpCarrierChange;RPCarrier;TkCarrier;OpCarrier;BulkFare;Passengers;MktFare;MktDistance;MktDistanceGroup;MktMilesFlown;NonStopMiles;ItinGeoType;MktGeoType
201513819375;20151381937501;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12889;1288903;32211;14;0;32;10;10;85;3855;2063;0.0;0;0.0;0;0;0;0.0;1.0;187.94;2039.0;5;2039.0;2039.0;2;2
201513819375;20151381937502;3;2015;1;12889;1288903;32211;67;0;32;36;36;85;13204;1320402;31454;17;0;12;8;8;33;4876;2621;1.0;8;1.0;0;1;1;0.0;1.0;204.06;365.0;1;2214.0;2039.0;2;2
201513819376;20151381937601;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;7.0;5.0;2218.0;5;2218.0;2218.0;2;2
201513819377;20151381937701;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;2.0;162.0;2218.0;5;2218.0;2218.0;2;2
201513819378;20151381937801;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;172.0;2218.0;5;2218.0;2218.0;2;2
201513819379;20151381937901;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;4.0;191.0;2218.0;5;2218.0;2218.0;2;2
201513819380;20151381938001;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;193.0;2218.0;5;2218.0;2218.0;2;2
201513819381;20151381938101;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;194.0;2218.0;5;2218.0;2218.0;2;2
201513819382;20151381938201;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;8.0;196.0;2218.0;5;2218.0;2218.0;2;2
201513819383;20151381938301;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;198.0;2218.0;5;2218.0;2218.0;2;2
201513819384;20151381938401;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;206.0;2218.0;5;2218.0;2218.0;2;2
201513819385;20151381938501;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;208.0;2218.0;5;2218.0;2218.0;2;2
201513819386;20151381938601;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;211.0;2218.0;5;2218.0;2218.0;2;2
201513819387;20151381938701;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;5.0;213.0;2218.0;5;2218.0;2218.0;2;2
201513819388;20151381938801;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;235.0;2218.0;5;2218.0;2218.0;2;2
