Model,Layers,CNT,TI,MAED,U_abs,HR@10,NDCG@10,MAE,Macro_F1,Precision
large,"[32, 16, 8, 4]",0.9999876024724542,0.12193205,0.0018194318,0.0031196475,0.9776357827476039,0.8110710581942143,0.37086787819862366,0.7010657435232277,0.7090919059830845
medium,"[16, 8, 4]",0.9999877434173146,0.122637466,0.0002348423,0.0051739216,0.9776357827476039,0.8092962318432871,0.3713698089122772,0.6997000758016614,0.7087938292136639
small,"[8, 4]",0.9999874856192398,0.12365774,0.00038141012,0.0053204894,0.9765708200212992,0.8070919833641497,0.3726225197315216,0.7002678444491008,0.7085308898372545
tiny,"[4, 2]",0.9999896888016687,0.11080553,0.0054840446,0.00054496527,0.9776357827476039,0.8048717362478797,0.37699732184410095,0.7001530714466988,0.7058582297919866
xlarge,"[64, 32, 16, 8]",0.9999874406956061,0.12113636,0.00018686056,0.00512594,0.9776357827476039,0.8108196670815616,0.3721739649772644,0.7003245203553894,0.7085787485935153
