Model,Layers,CNT,TI,MAED,U_abs,HR@10,NDCG@10,MAE,Macro_F1,Precision
large,"[32, 16, 8, 4]",0.9999876591863284,0.1333838,0.0039061904,0.0036327243,0.9776357827476039,0.809880484211558,0.37006813287734985,0.7015326562453419,0.7060873016931966
medium,"[16, 8, 4]",0.9999877470267725,0.12947361,0.0051911473,0.010130227,0.9776357827476039,0.8091509996382945,0.3680039048194885,0.6983102866493145,0.7084334710976362
small,"[8, 4]",0.9999876701225824,0.13511907,0.0048857927,0.009824872,0.9765708200212992,0.806860390582179,0.3687753975391388,0.70177344248683,0.7084220982381654
tiny,"[4, 2]",0.9999895975365339,0.11458123,0.0027986765,0.0021404028,0.9776357827476039,0.8063531195190395,0.37558454275131226,0.6997398818466126,0.704442566364687
xlarge,"[64, 32, 16, 8]",0.999987610860339,0.12841982,0.006603539,0.008870661,0.9776357827476039,0.8090680790602036,0.3730124533176422,0.7006476796097945,0.7063027694673283
