Model,Layers,CNT,TI,MAED,U_abs,HR@10,NDCG@10,MAE,Macro_F1,Precision
large,"[32, 16, 8, 4]",0.6242287660256604,0.15267198,4.7564507e-05,0.004891515,0.9776357827476039,0.805084612779717,0.38415008783340454,0.6917849034907249,0.6916232314009374
medium,"[16, 8, 4]",0.6220152243589938,0.15734431,0.0011022389,0.006041318,0.9776357827476039,0.8074660269197651,0.38598573207855225,0.6947769064979135,0.6945618992187996
small,"[8, 4]",0.6125000000000191,0.15735437,0.0009124875,0.005851567,0.9765708200212992,0.8055963812535012,0.390110582113266,0.6984225458144836,0.6990333111112921
tiny,"[4, 2]",0.6106770833333558,0.12683597,0.004644245,0.00029483438,0.9765708200212992,0.8032340160858346,0.3982519209384918,0.689910902148871,0.6939877720224541
xlarge,"[64, 32, 16, 8]",0.6262920673077117,0.14819877,0.0013484955,0.006287575,0.9776357827476039,0.8055483959855031,0.38817229866981506,0.6905248649626746,0.6904125119916277
